
May 31 21:58:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:58:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:59:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:00:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:01:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:02:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:03:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:04:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:05:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:06:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:07:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:08:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:09:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:10:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:11:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:12:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:12:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 22:12:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
